country;Somme_vaccinated;Moyenne_vaccinated;date_vaccination;Max_vaccinated;Min_vaccinated;Nombre_vaccin_utilisé
Latvia;1;1.0000;04/12/2020;1;1;1
Latvia;1;1.0000;07/12/2020;1;1;1
Latvia;2;2.0000;09/12/2020;2;2;1
Latvia;3;3.0000;15/12/2020;3;3;1
Latvia;4;4.0000;16/12/2020;4;4;1
Latvia;5;5.0000;17/12/2020;5;5;1
Latvia;9;9.0000;18/12/2020;9;9;1
Denmark;2;2.0000;18/12/2020;2;2;1
Latvia;14;7.0000;20/12/2020;10;4;2
Latvia;14;14.0000;21/12/2020;14;14;1
Switzerland;1;1.0000;21/12/2020;1;1;1
Switzerland;3;1.5000;22/12/2020;2;1;2
Latvia;19;19.0000;22/12/2020;19;19;1
Latvia;23;23.0000;23/12/2020;23;23;1
Switzerland;430;143.3333;23/12/2020;428;1;3
Switzerland;695;231.6667;24/12/2020;693;1;3
Chile;420;420.0000;24/12/2020;420;420;1
Latvia;26;26.0000;24/12/2020;26;26;1
Switzerland;696;232.0000;25/12/2020;693;1;3
Chile;5199;5199.0000;25/12/2020;5199;5199;1
Denmark;7;7.0000;25/12/2020;7;7;1
Chile;8340;8340.0000;26/12/2020;8340;8340;1
Latvia;29;29.0000;26/12/2020;29;29;1
Switzerland;1132;377.3333;26/12/2020;1129;1;3
Switzerland;1132;377.3333;27/12/2020;1129;1;3
Chile;8649;8649.0000;27/12/2020;8649;8649;1
Czechia;1287;1287.0000;27/12/2020;1287;1287;1
European Union;34615;3846.1111;27/12/2020;34600;0;9
France;593;593.0000;27/12/2020;593;593;1
Germany;24376;4875.2000;27/12/2020;24367;0;5
Italy;7349;3674.5000;27/12/2020;7347;2;2
Latvia;34;34.0000;27/12/2020;34;34;1
Romania;965;965.0000;27/12/2020;965;965;1
Italy;8854;4427.0000;28/12/2020;8848;6;2
Latvia;640;640.0000;28/12/2020;640;640;1
Romania;2066;2066.0000;28/12/2020;2066;2066;1
Switzerland;2760;920.0000;28/12/2020;2757;1;3
Chile;8649;8649.0000;28/12/2020;8649;8649;1
Czechia;3590;3590.0000;28/12/2020;3590;3590;1
European Union;58880;6542.2222;28/12/2020;58859;0;9
France;1242;1242.0000;28/12/2020;1242;1242;1
Germany;42477;8495.4000;28/12/2020;42466;0;5
Argentina;20487;5121.7500;29/12/2020;20481;1;4
Chile;8649;8649.0000;29/12/2020;8649;8649;1
Czechia;7063;7063.0000;29/12/2020;7063;7063;1
European Union;116116;12901.7778;29/12/2020;116088;0;9
France;1610;1610.0000;29/12/2020;1610;1610;1
Germany;93182;18636.4000;29/12/2020;93170;0;5
Italy;9953;4976.5000;29/12/2020;9942;11;2
Latvia;1523;761.5000;29/12/2020;1518;5;2
Romania;2778;2778.0000;29/12/2020;2778;2778;1
Switzerland;4456;1485.3333;29/12/2020;4453;1;3
Switzerland;6129;2043.0000;30/12/2020;6126;1;3
Argentina;40589;10147.2500;30/12/2020;40583;1;4
Chile;8649;8649.0000;30/12/2020;8649;8649;1
Czechia;10580;10580.0000;30/12/2020;10580;10580;1
European Union;192844;21427.1111;30/12/2020;192803;0;9
France;2043;2043.0000;30/12/2020;2043;2043;1
Germany;157385;31477.0000;30/12/2020;157372;0;5
Italy;14838;7419.0000;30/12/2020;14816;22;2
Latvia;2325;1162.5000;30/12/2020;2319;6;2
Romania;5666;5666.0000;30/12/2020;5666;5666;1
Italy;40763;40763.0000;31/12/2020;40763;40763;1
Latvia;2332;1166.0000;31/12/2020;2325;7;2
Romania;10289;10289.0000;31/12/2020;10289;10289;1
Switzerland;6382;2127.3333;31/12/2020;6378;1;3
Argentina;43394;10848.5000;31/12/2020;43388;1;4
Chile;8649;8649.0000;31/12/2020;8649;8649;1
Czechia;11891;11891.0000;31/12/2020;11891;11891;1
European Union;275109;30567.6667;31/12/2020;275064;0;9
France;2403;2403.0000;31/12/2020;2403;2403;1
Germany;207402;41480.4000;31/12/2020;207386;0;5
Argentina;43521;10880.2500;01/01/2021;43513;1;4
Bulgaria;0;0.0000;01/01/2021;0;0;1
Chile;8649;8649.0000;01/01/2021;8649;8649;1
Croatia;2087;2087.0000;01/01/2021;2087;2087;1
Cyprus;369;369.0000;01/01/2021;369;369;1
Czechia;12160;6080.0000;01/01/2021;12159;1;2
Denmark;5781;2890.5000;01/01/2021;5780;1;2
Estonia;194;194.0000;01/01/2021;194;194;1
European Union;340977;37886.3333;01/01/2021;340891;0;9
Finland;29;7.2500;01/01/2021;27;0;4
France;3507;3507.0000;01/01/2021;3507;3507;1
Germany;233090;46618.0000;01/01/2021;233051;0;5
Hungary;1095;1095.0000;01/01/2021;1095;1095;1
Ireland;0;0.0000;01/01/2021;0;0;1
Italy;52056;26028.0000;01/01/2021;52029;27;2
Latvia;2332;2332.0000;01/01/2021;2332;2332;1
Lithuania;2422;2422.0000;01/01/2021;2422;2422;1
Luxembourg;0;0.0000;01/01/2021;0;0;1
Malta;57;57.0000;01/01/2021;57;57;1
Netherlands;0;0.0000;01/01/2021;0;0;5
Norway;68;68.0000;01/01/2021;68;68;1
Poland;2215;553.7500;01/01/2021;2215;0;4
Portugal;5159;1289.7500;01/01/2021;5150;1;4
Romania;11656;11656.0000;01/01/2021;11656;11656;1
Slovakia;0;0.0000;01/01/2021;0;0;1
Slovenia;4896;4896.0000;01/01/2021;4896;4896;1
Sweden;1865;466.2500;01/01/2021;1865;0;4
Switzerland;6390;2130.0000;01/01/2021;6383;1;3
Switzerland;6394;2131.3333;02/01/2021;6386;1;3
Argentina;46833;11708.2500;02/01/2021;46824;1;4
Chile;8649;8649.0000;02/01/2021;8649;8649;1
Czechia;13444;6722.0000;02/01/2021;13441;3;2
European Union;431359;47928.7778;02/01/2021;431259;0;9
France;3856;3856.0000;02/01/2021;3856;3856;1
Germany;281175;56235.0000;02/01/2021;281133;0;5
Italy;91132;45566.0000;02/01/2021;91096;36;2
Latvia;2334;2334.0000;02/01/2021;2334;2334;1
Romania;13242;13242.0000;02/01/2021;13242;13242;1
Italy;127010;63505.0000;03/01/2021;126949;61;2
Latvia;2338;2338.0000;03/01/2021;2338;2338;1
Romania;13596;13596.0000;03/01/2021;13596;13596;1
Switzerland;6398;2132.6667;03/01/2021;6388;1;3
Argentina;47275;11818.7500;03/01/2021;47266;1;4
Chile;8649;8649.0000;03/01/2021;8649;8649;1
Czechia;14371;7185.5000;03/01/2021;14367;4;2
European Union;491504;54611.5556;03/01/2021;491367;0;9
France;4250;4250.0000;03/01/2021;4250;4250;1
Germany;303763;60752.6000;03/01/2021;303710;0;5
Argentina;57735;14433.7500;04/01/2021;57726;1;4
Chile;9054;9054.0000;04/01/2021;9054;9054;1
Czechia;17982;8991.0000;04/01/2021;17970;12;2
European Union;625653;69517.0000;04/01/2021;625439;0;9
France;6324;6324.0000;04/01/2021;6324;6324;1
Germany;349978;69995.6000;04/01/2021;349894;0;5
Italy;196638;65546.0000;04/01/2021;196543;9;3
Latvia;3054;1018.0000;04/01/2021;3043;1;3
Romania;25508;25508.0000;04/01/2021;25508;25508;1
Switzerland;10072;3357.3333;04/01/2021;10061;1;3
Switzerland;17207;5735.6667;05/01/2021;17194;1;3
Argentina;68458;17114.5000;05/01/2021;68445;2;4
Chile;10497;10497.0000;05/01/2021;10497;10497;1
Czechia;22509;11254.5000;05/01/2021;22494;15;2
European Union;786990;87443.3333;05/01/2021;786743;0;9
France;13134;13134.0000;05/01/2021;13134;13134;1
Germany;402722;80544.4000;05/01/2021;402623;0;5
Italy;276896;92298.6667;05/01/2021;276786;11;3
Latvia;3940;3940.0000;05/01/2021;3940;3940;1
Romania;41609;41609.0000;05/01/2021;41609;41609;1
Italy;342075;114025.0000;06/01/2021;341949;13;3
Latvia;4734;2367.0000;06/01/2021;4723;11;2
Romania;58554;58554.0000;06/01/2021;58554;58554;1
Switzerland;23053;7684.3333;06/01/2021;23036;1;3
Argentina;78567;19641.7500;06/01/2021;78551;2;4
Chile;10703;10703.0000;06/01/2021;10703;10703;1
Czechia;28357;14178.5000;06/01/2021;28339;18;2
European Union;951203;105689.2222;06/01/2021;950924;0;9
France;25409;25409.0000;06/01/2021;25409;25409;1
Germany;465904;93180.8000;06/01/2021;465793;0;5
Argentina;96788;24197.0000;07/01/2021;96771;2;4
Chile;10703;10703.0000;07/01/2021;10703;10703;1
Czechia;36356;18178.0000;07/01/2021;36335;21;2
European Union;1154942;128326.8889;07/01/2021;1154629;0;9
France;54840;54840.0000;07/01/2021;54840;54840;1
Germany;520909;104181.8000;07/01/2021;520785;0;5
Italy;434720;144906.6667;07/01/2021;434576;15;3
Latvia;5536;5536.0000;07/01/2021;5536;5536;1
Romania;76400;76400.0000;07/01/2021;76400;76400;1
Switzerland;30272;10090.6667;07/01/2021;30253;1;3
Spain;419905;104976.2500;08/01/2021;419905;0;4
Sweden;42509;10627.2500;08/01/2021;42509;0;4
Switzerland;38322;12774.0000;08/01/2021;38296;1;3
Argentina;124669;31167.2500;08/01/2021;124652;2;4
Austria;31655;6331.0000;08/01/2021;31654;0;5
Belgium;28332;5666.4000;08/01/2021;28332;0;5
Bulgaria;13473;6736.5000;08/01/2021;13473;0;2
Chile;10704;10704.0000;08/01/2021;10704;10704;1
Croatia;31853;15926.5000;08/01/2021;31832;21;2
Cyprus;3010;3010.0000;08/01/2021;3010;3010;1
Czechia;46409;23204.5000;08/01/2021;46387;22;2
Denmark;103999;25999.7500;08/01/2021;103977;1;4
Estonia;11149;11149.0000;08/01/2021;11149;11149;1
European Union;2606073;289563.6667;08/01/2021;2605317;0;9
Finland;21694;5423.5000;08/01/2021;21670;0;4
France;91948;91948.0000;08/01/2021;91948;91948;1
Germany;583781;116756.2000;08/01/2021;583600;0;5
Hungary;71815;71815.0000;08/01/2021;71815;71815;1
Ireland;52654;13163.5000;08/01/2021;52615;1;4
Italy;531689;265844.5000;08/01/2021;531453;236;2
Latvia;6457;6457.0000;08/01/2021;6457;6457;1
Liechtenstein;4;1.3333;08/01/2021;4;0;3
Lithuania;23567;23567.0000;08/01/2021;23567;23567;1
Luxembourg;1285;1285.0000;08/01/2021;1285;1285;1
Malta;4546;2273.0000;08/01/2021;4543;3;2
Netherlands;33757;6751.4000;08/01/2021;33757;0;5
Norway;23622;7874.0000;08/01/2021;23570;4;3
Poland;213489;53372.2500;08/01/2021;213486;0;4
Portugal;85556;14259.3333;08/01/2021;85379;2;6
Romania;92706;92706.0000;08/01/2021;92706;92706;1
Slovakia;30160;30160.0000;08/01/2021;30160;30160;1
Slovenia;28648;28648.0000;08/01/2021;28648;28648;1
Italy;619950;309975.0000;09/01/2021;619651;299;2
Latvia;6779;2259.6667;09/01/2021;6765;2;3
Romania;102301;102301.0000;09/01/2021;102301;102301;1
Switzerland;40472;13490.6667;09/01/2021;40442;1;3
Argentina;134878;33719.5000;09/01/2021;134860;2;4
Chile;10704;10704.0000;09/01/2021;10704;10704;1
Czechia;48439;24219.5000;09/01/2021;48415;24;2
European Union;2778247;308694.1111;09/01/2021;2777410;0;9
France;103156;103156.0000;09/01/2021;103156;103156;1
Germany;644550;128910.0000;09/01/2021;644356;0;5
Argentina;136053;34013.2500;10/01/2021;136034;2;4
Chile;10705;10705.0000;10/01/2021;10705;10705;1
Czechia;50188;50188.0000;10/01/2021;50188;50188;1
European Union;2889283;321031.4444;10/01/2021;2888420;0;9
France;109143;109143.0000;10/01/2021;109143;109143;1
Germany;680566;136113.2000;10/01/2021;680352;0;5
Italy;680879;340439.5000;10/01/2021;680575;304;2
Latvia;7115;3557.5000;10/01/2021;7102;13;2
Romania;108294;108294.0000;10/01/2021;108294;108294;1
Switzerland;40508;13502.6667;10/01/2021;40476;1;3
Switzerland;47927;15975.6667;11/01/2021;47875;1;3
Argentina;155877;38969.2500;11/01/2021;155856;2;4
Chile;10705;10705.0000;11/01/2021;10705;10705;1
Czechia;60070;30035.0000;11/01/2021;60045;25;2
European Union;3108173;345352.5556;11/01/2021;3107070;0;9
France;149060;149060.0000;11/01/2021;149060;149060;1
Germany;749221;149844.2000;11/01/2021;748988;0;5
Italy;763081;254360.3333;11/01/2021;762548;18;3
Latvia;8492;4246.0000;11/01/2021;8473;19;2
Romania;125190;125190.0000;11/01/2021;125190;125190;1
Italy;846599;423299.5000;12/01/2021;845893;706;2
Latvia;10135;3378.3333;12/01/2021;10109;4;3
Romania;140447;140447.0000;12/01/2021;140447;140447;1
Switzerland;58348;19449.3333;12/01/2021;58247;1;3
United States;9324556;4662278.0000;12/01/2021;5488697;3835859;2
Argentina;175263;43815.7500;12/01/2021;175239;2;4
Chile;10705;10705.0000;12/01/2021;10705;10705;1
Czechia;73528;36764.0000;12/01/2021;73499;29;2
European Union;3363346;373705.1111;12/01/2021;3362014;0;9
France;211159;211159.0000;12/01/2021;211159;211159;1
Germany;828403;165680.6000;12/01/2021;828141;0;5
Argentina;192029;48007.2500;13/01/2021;192001;2;4
Chile;11738;11738.0000;13/01/2021;11738;11738;1
Czechia;87075;43537.5000;13/01/2021;87044;31;2
European Union;3665090;407232.2222;13/01/2021;3662295;0;9
France;276213;276213.0000;13/01/2021;276213;276213;1
Germany;940712;188142.4000;13/01/2021;939267;0;5
Italy;942088;471044.0000;13/01/2021;941237;851;2
Latvia;11655;5827.5000;13/01/2021;11500;155;2
Romania;154268;154268.0000;13/01/2021;154268;154268;1
Switzerland;69443;23147.6667;13/01/2021;69248;1;3
United States;10275667;5137833.5000;13/01/2021;6025872;4249795;2
Switzerland;80059;26686.3333;14/01/2021;79720;1;3
Argentina;208675;52168.7500;14/01/2021;208646;2;4
Chile;18655;18655.0000;14/01/2021;18655;18655;1
Czechia;102332;51166.0000;14/01/2021;101069;1263;2
European Union;3957877;439764.1111;14/01/2021;3946191;0;9
France;359357;179678.5000;14/01/2021;357655;1702;2
Germany;1024863;204972.6000;14/01/2021;1018247;0;5
Italy;1036656;345552.0000;14/01/2021;1035452;2;3
Latvia;13505;4501.6667;14/01/2021;12913;6;3
Romania;168089;168089.0000;14/01/2021;168089;168089;1
Hungary;123560;61780.0000;15/01/2021;120515;3045;2
Ireland;101602;33867.3333;15/01/2021;99627;35;3
Italy;1127691;563845.5000;15/01/2021;1125281;2410;2
Latvia;15380;5126.6667;15/01/2021;14429;1;3
Liechtenstein;44;14.6667;15/01/2021;39;0;3
Lithuania;52300;26150.0000;15/01/2021;51256;1044;2
Luxembourg;2778;1389.0000;15/01/2021;2778;0;2
Malta;11032;3677.3333;15/01/2021;11024;2;3
Netherlands;76956;15391.2000;15/01/2021;76956;0;5
Norway;52913;17637.6667;15/01/2021;52733;18;3
Poland;486606;121651.5000;15/01/2021;486600;0;4
Portugal;137283;27456.6000;15/01/2021;135400;11;5
Romania;184146;184146.0000;15/01/2021;184146;184146;1
Slovakia;63469;31734.5000;15/01/2021;63469;0;2
Slovenia;46910;46910.0000;15/01/2021;46910;46910;1
Spain;928637;232159.2500;15/01/2021;921366;0;4
Sweden;113493;28373.2500;15/01/2021;113387;0;4
Switzerland;90848;30282.6667;15/01/2021;89788;1;3
United States;12275930;6137965.0000;15/01/2021;7153268;5122662;2
Argentina;226110;56527.5000;15/01/2021;226081;2;4
Austria;117277;23455.4000;15/01/2021;117177;0;5
Belgium;127709;25541.8000;15/01/2021;127644;0;5
Bulgaria;18453;9226.5000;15/01/2021;17962;491;2
Chile;22086;22086.0000;15/01/2021;22086;22086;1
Croatia;50613;16871.0000;15/01/2021;49102;4;3
Cyprus;7757;3878.5000;15/01/2021;7757;0;2
Czechia;116355;58177.5000;15/01/2021;114323;2032;2
Denmark;154548;38637.0000;15/01/2021;153480;2;4
Estonia;18691;9345.5000;15/01/2021;18691;0;2
European Union;5690841;632315.6667;15/01/2021;5652804;0;9
Finland;62547;15636.7500;15/01/2021;62520;0;4
France;428332;214166.0000;15/01/2021;426240;2092;2
Germany;1116686;223337.2000;15/01/2021;1104764;0;5
Argentina;231993;57998.2500;16/01/2021;231964;2;4
Chile;22176;22176.0000;16/01/2021;22176;22176;1
Czechia;119763;59881.5000;16/01/2021;117403;2360;2
European Union;5851854;650206.0000;16/01/2021;5810349;0;9
France;448609;224304.5000;16/01/2021;446205;2404;2
Germany;1174782;234956.4000;16/01/2021;1161164;0;5
Italy;1193826;596913.0000;16/01/2021;1190318;3508;2
Latvia;16061;5353.6667;16/01/2021;15071;9;3
Romania;196567;196567.0000;16/01/2021;196567;196567;1
Switzerland;95215;31738.3333;16/01/2021;91808;1;3
Switzerland;95880;31960.0000;17/01/2021;92390;1;3
Argentina;233054;58263.5000;17/01/2021;233025;2;4
Chile;22176;22176.0000;17/01/2021;22176;22176;1
Czechia;123020;61510.0000;17/01/2021;120563;2457;2
European Union;5959811;662201.2222;17/01/2021;5916433;0;9
France;459629;229814.5000;17/01/2021;457145;2484;2
Germany;1222606;244521.2000;17/01/2021;1207721;0;5
Italy;1231460;615730.0000;17/01/2021;1227526;3934;2
Latvia;15207;7603.5000;17/01/2021;15195;12;2
Romania;204662;204662.0000;17/01/2021;204662;204662;1
Italy;1276150;425383.3333;18/01/2021;1270918;4;3
Latvia;17048;5682.6667;18/01/2021;15909;14;3
Romania;234899;234899.0000;18/01/2021;234899;234899;1
Switzerland;108105;36035.0000;18/01/2021;103156;1;3
Argentina;242885;60721.2500;18/01/2021;242856;2;4
Chile;33227;33227.0000;18/01/2021;33227;33227;1
Czechia;137341;68670.5000;18/01/2021;134703;2638;2
European Union;6219154;691017.1111;18/01/2021;6166816;0;9
France;545603;272801.5000;18/01/2021;540047;5556;2
Germany;1305869;261173.8000;18/01/2021;1286719;0;5
Argentina;256132;64033.0000;19/01/2021;256102;2;4
Chile;52594;52594.0000;19/01/2021;52594;52594;1
Czechia;152683;76341.5000;19/01/2021;149264;3419;2
European Union;6554324;728258.2222;19/01/2021;6490208;0;9
France;676297;338148.5000;19/01/2021;666067;10230;2
Germany;1425683;285136.6000;19/01/2021;1402713;0;5
Italy;1309770;654885.0000;19/01/2021;1302103;7667;2
Latvia;17937;5979.0000;19/01/2021;16734;16;3
Romania;269706;269706.0000;19/01/2021;269706;269706;1
Switzerland;125400;41800.0000;19/01/2021;115943;1;3
