country,Total_vaccin,Nombre_vaccin_utilisé,Date
Latvia,1,1,2020-12-04
Latvia,1,1,2020-12-07
Latvia,2,1,2020-12-09
Latvia,3,1,2020-12-15
Latvia,4,1,2020-12-16
Latvia,5,1,2020-12-17
Latvia,9,1,2020-12-18
Denmark,2,1,2020-12-18
Latvia,14,2,2020-12-20
Latvia,14,1,2020-12-21
Switzerland,1,1,2020-12-21
Latvia,19,1,2020-12-22
Switzerland,3,2,2020-12-22
Latvia,23,1,2020-12-23
Switzerland,430,3,2020-12-23
Latvia,26,1,2020-12-24
Switzerland,695,3,2020-12-24
Chile,420,1,2020-12-24
Chile,5199,1,2020-12-25
Denmark,7,1,2020-12-25
Switzerland,696,3,2020-12-25
Latvia,29,1,2020-12-26
Switzerland,1132,3,2020-12-26
Chile,8340,1,2020-12-26
Chile,8649,1,2020-12-27
Czechia,1287,1,2020-12-27
"European Union",34615,9,2020-12-27
France,593,1,2020-12-27
Germany,24376,5,2020-12-27
Italy,7349,2,2020-12-27
Latvia,34,1,2020-12-27
Romania,965,1,2020-12-27
Switzerland,1132,3,2020-12-27
Italy,8854,2,2020-12-28
Latvia,640,1,2020-12-28
Romania,2066,1,2020-12-28
Switzerland,2760,3,2020-12-28
Chile,8649,1,2020-12-28
Czechia,3590,1,2020-12-28
"European Union",58880,9,2020-12-28
France,1242,1,2020-12-28
Germany,42477,5,2020-12-28
Argentina,20487,4,2020-12-29
Chile,8649,1,2020-12-29
Czechia,7063,1,2020-12-29
"European Union",116116,9,2020-12-29
France,1610,1,2020-12-29
Germany,93182,5,2020-12-29
Italy,9953,2,2020-12-29
Latvia,1523,2,2020-12-29
Romania,2778,1,2020-12-29
Switzerland,4456,3,2020-12-29
Italy,14838,2,2020-12-30
Latvia,2325,2,2020-12-30
Romania,5666,1,2020-12-30
Switzerland,6129,3,2020-12-30
Argentina,40589,4,2020-12-30
Chile,8649,1,2020-12-30
Czechia,10580,1,2020-12-30
"European Union",192844,9,2020-12-30
France,2043,1,2020-12-30
Germany,157385,5,2020-12-30
Argentina,43394,4,2020-12-31
Chile,8649,1,2020-12-31
Czechia,11891,1,2020-12-31
"European Union",275109,9,2020-12-31
France,2403,1,2020-12-31
Germany,207402,5,2020-12-31
Italy,40763,1,2020-12-31
Latvia,2332,2,2020-12-31
Romania,10289,1,2020-12-31
Switzerland,6382,3,2020-12-31
Hungary,1095,1,2021-01-01
Ireland,0,1,2021-01-01
Italy,52056,2,2021-01-01
Latvia,2332,1,2021-01-01
Lithuania,2422,1,2021-01-01
Luxembourg,0,1,2021-01-01
Malta,57,1,2021-01-01
Netherlands,0,5,2021-01-01
Norway,68,1,2021-01-01
Poland,2215,4,2021-01-01
Portugal,5159,4,2021-01-01
Romania,11656,1,2021-01-01
Slovakia,0,1,2021-01-01
Slovenia,4896,1,2021-01-01
Sweden,1865,4,2021-01-01
Switzerland,6390,3,2021-01-01
Argentina,43521,4,2021-01-01
Bulgaria,0,1,2021-01-01
Chile,8649,1,2021-01-01
Croatia,2087,1,2021-01-01
Cyprus,369,1,2021-01-01
Czechia,12160,2,2021-01-01
Denmark,5781,2,2021-01-01
Estonia,194,1,2021-01-01
"European Union",340977,9,2021-01-01
Finland,29,4,2021-01-01
France,3507,1,2021-01-01
Germany,233090,5,2021-01-01
Argentina,46833,4,2021-01-02
Chile,8649,1,2021-01-02
Czechia,13444,2,2021-01-02
"European Union",431359,9,2021-01-02
France,3856,1,2021-01-02
Germany,281175,5,2021-01-02
Italy,91132,2,2021-01-02
Latvia,2334,1,2021-01-02
Romania,13242,1,2021-01-02
Switzerland,6394,3,2021-01-02
Italy,127010,2,2021-01-03
Latvia,2338,1,2021-01-03
Romania,13596,1,2021-01-03
Switzerland,6398,3,2021-01-03
Argentina,47275,4,2021-01-03
Chile,8649,1,2021-01-03
Czechia,14371,2,2021-01-03
"European Union",491504,9,2021-01-03
France,4250,1,2021-01-03
Germany,303763,5,2021-01-03
Argentina,57735,4,2021-01-04
Chile,9054,1,2021-01-04
