country;total_vaccinations;Date;vaccine
Argentina;20405678;29/03/2022;Sputnik V
Argentina;28322602;29/03/2022;Sinopharm/Beijing
Argentina;14681054;29/03/2022;Pfizer/BioNTech
Argentina;25977231;29/03/2022;Oxford/AstraZeneca
Argentina;6507561;29/03/2022;Moderna
Argentina;610540;29/03/2022;CanSino
Argentina;20405678;28/03/2022;Sputnik V
Argentina;28322602;28/03/2022;Sinopharm/Beijing
Argentina;14681054;28/03/2022;Pfizer/BioNTech
Argentina;25977231;28/03/2022;Oxford/AstraZeneca
Argentina;6507561;28/03/2022;Moderna
Argentina;610540;28/03/2022;CanSino
Argentina;20403019;27/03/2022;Sputnik V
Argentina;28316236;27/03/2022;Sinopharm/Beijing
Argentina;14646478;27/03/2022;Pfizer/BioNTech
Argentina;25965023;27/03/2022;Oxford/AstraZeneca
Argentina;6483293;27/03/2022;Moderna
Argentina;608959;27/03/2022;CanSino
Argentina;20402300;26/03/2022;Sputnik V
Argentina;28314919;26/03/2022;Sinopharm/Beijing
Argentina;14637693;26/03/2022;Pfizer/BioNTech
Argentina;25964114;26/03/2022;Oxford/AstraZeneca
Argentina;6474823;26/03/2022;Moderna
Argentina;608831;26/03/2022;CanSino
Argentina;20400333;25/03/2022;Sputnik V
Argentina;28311382;25/03/2022;Sinopharm/Beijing
Argentina;14617875;25/03/2022;Pfizer/BioNTech
Argentina;25959820;25/03/2022;Oxford/AstraZeneca
Argentina;6457733;25/03/2022;Moderna
Argentina;608364;25/03/2022;CanSino
Argentina;20397192;24/03/2022;Sputnik V
Argentina;28302840;24/03/2022;Sinopharm/Beijing
Argentina;14571962;24/03/2022;Pfizer/BioNTech
Argentina;25942658;24/03/2022;Oxford/AstraZeneca
Argentina;6433412;24/03/2022;Moderna
Argentina;605863;24/03/2022;CanSino
Argentina;20396348;23/03/2022;Sputnik V
Argentina;28301076;23/03/2022;Sinopharm/Beijing
Argentina;14558879;23/03/2022;Pfizer/BioNTech
Argentina;25940874;23/03/2022;Oxford/AstraZeneca
Argentina;6427697;23/03/2022;Moderna
Argentina;605574;23/03/2022;CanSino
Argentina;20392575;22/03/2022;Sputnik V
Argentina;28291773;22/03/2022;Sinopharm/Beijing
Argentina;14508582;22/03/2022;Pfizer/BioNTech
Argentina;25925577;22/03/2022;Oxford/AstraZeneca
Argentina;6400263;22/03/2022;Moderna
Argentina;602834;22/03/2022;CanSino
Argentina;20389188;21/03/2022;Sputnik V
Argentina;28282976;21/03/2022;Sinopharm/Beijing
Argentina;14458905;21/03/2022;Pfizer/BioNTech
Argentina;25910159;21/03/2022;Oxford/AstraZeneca
Argentina;6377449;21/03/2022;Moderna
Argentina;600532;21/03/2022;CanSino
Argentina;20384780;20/03/2022;Sputnik V
Argentina;28274035;20/03/2022;Sinopharm/Beijing
Argentina;14403660;20/03/2022;Pfizer/BioNTech
Argentina;25892229;20/03/2022;Oxford/AstraZeneca
Argentina;6353660;20/03/2022;Moderna
Argentina;597539;20/03/2022;CanSino
Argentina;20383908;19/03/2022;Sputnik V
Argentina;28272228;19/03/2022;Sinopharm/Beijing
Argentina;14385766;19/03/2022;Pfizer/BioNTech
Argentina;25891561;19/03/2022;Oxford/AstraZeneca
Argentina;6344189;19/03/2022;Moderna
Argentina;597310;19/03/2022;CanSino
Argentina;20382330;18/03/2022;Sputnik V
Argentina;28267355;18/03/2022;Sinopharm/Beijing
Argentina;14349822;18/03/2022;Pfizer/BioNTech
Argentina;25885851;18/03/2022;Oxford/AstraZeneca
Argentina;6326869;18/03/2022;Moderna
Argentina;596806;18/03/2022;CanSino
Argentina;20378154;17/03/2022;Sputnik V
Argentina;28256008;17/03/2022;Sinopharm/Beijing
Argentina;14288716;17/03/2022;Pfizer/BioNTech
Argentina;25868768;17/03/2022;Oxford/AstraZeneca
Argentina;6305483;17/03/2022;Moderna
Argentina;594048;17/03/2022;CanSino
Argentina;20373711;16/03/2022;Sputnik V
Argentina;28244694;16/03/2022;Sinopharm/Beijing
Argentina;14230270;16/03/2022;Pfizer/BioNTech
